nameTeam,avgAge,valueTeam,year,numberPlayers,nameLeague
Hamburger SV,25.1,104950000,2012,30,bundesliga
Borussia Monchengladbach,24.3,87330000,2012,29,bundesliga
TSG 1899 Hoffenheim,23.7,78250000,2012,43,bundesliga
Eintracht Frankfurt,25.4,68400000,2012,31,bundesliga
1.FSV Mainz 05,26.4,52430000,2012,32,bundesliga
FC Augsburg,26.2,38450000,2012,33,bundesliga
Fortuna Dusseldorf,25.7,31150000,2012,35,bundesliga
Bayern Munich,25.5,575130000,2014,33,bundesliga
VfL Wolfsburg,26.1,221050000,2014,30,bundesliga
Bayer 04 Leverkusen,24.9,177350000,2014,26,bundesliga
TSG 1899 Hoffenheim,24.4,121780000,2014,30,bundesliga
Hamburger SV,25.2,87150000,2014,38,bundesliga
Hannover 96,25.6,76650000,2014,35,bundesliga
SV Werder Bremen,23.9,67530000,2014,36,bundesliga
SC Freiburg,25.1,57400000,2014,30,bundesliga
FC Augsburg,25.5,50080000,2014,35,bundesliga
Borussia Dortmund,24.7,319500000,2014,37,bundesliga
FC Schalke 04,24,212000000,2014,36,bundesliga
Borussia Monchengladbach,25.9,130630000,2014,27,bundesliga
1.FSV Mainz 05,24.9,88000000,2014,36,bundesliga
VfB Stuttgart,24.7,86950000,2014,30,bundesliga
Eintracht Frankfurt,25.1,74900000,2014,30,bundesliga
Hertha BSC,26.3,66000000,2014,30,bundesliga
1. FC Koln,25.4,50750000,2014,27,bundesliga
SC Paderborn 07,26.1,28500000,2014,28,bundesliga
FC Barcelona,24.7,1160000000,2018,39,primera-division
Real Madrid,24.7,896100000,2018,36,primera-division
Sevilla FC,26.1,306300000,2018,38,primera-division
Real Betis Balompie,25.4,290750000,2018,34,primera-division
Celta de Vigo,25.3,234100000,2018,30,primera-division
RCD Espanyol Barcelona,26.8,174700000,2018,30,primera-division
CD Leganes,25.9,112450000,2018,38,primera-division
Levante UD,25.8,107850000,2018,31,primera-division
SD Eibar,27.3,96100000,2018,32,primera-division
Real Valladolid CF,25.1,83000000,2018,41,primera-division
Atletico de Madrid,24.2,969700000,2018,37,primera-division
Valencia CF,24.8,499650000,2018,33,primera-division
Real Sociedad,24.1,300950000,2018,33,primera-division
Athletic Bilbao,26.8,234250000,2018,32,primera-division
Villarreal CF,27.5,230650000,2018,32,primera-division
Getafe CF,27.3,132199999,2018,28,primera-division
Deportivo Alaves,25.9,110800000,2018,29,primera-division
Girona FC,25.9,97250000,2018,33,primera-division
Rayo Vallecano,26.2,86700000,2018,36,primera-division
SD Huesca,26.7,61400000,2018,39,primera-division
FC Barcelona,25.9,726000000,2015,32,primera-division
Atletico de Madrid,25.4,418500000,2015,30,primera-division
Sevilla FC,25.8,230300000,2015,38,primera-division
Villarreal CF,25.4,140600000,2015,28,primera-division
Celta de Vigo,24.6,91100000,2015,28,primera-division
Granada CF,25.9,71500000,2015,33,primera-division
Deportivo de La Coruna,28.2,61750000,2015,30,primera-division
Real Betis Balompie,26.9,56400000,2015,33,primera-division
Levante UD,27.3,53100000,2015,31,primera-division
Getafe CF,25.7,49100000,2015,30,primera-division
Real Madrid,24.8,714300000,2015,30,primera-division
Valencia CF,23.7,254000000,2015,38,primera-division
Athletic Bilbao,27,148000000,2015,28,primera-division
Real Sociedad,25.5,119400000,2015,32,primera-division
Malaga CF,27,77950000,2015,33,primera-division
RCD Espanyol Barcelona,25,62200000,2015,33,primera-division
SD Eibar,25.8,56600000,2015,35,primera-division
Sporting Gijon,24.7,53200000,2015,29,primera-division
Rayo Vallecano,28,49600000,2015,35,primera-division
UD Las Palmas,27.2,32200000,2015,33,primera-division
Real Madrid,24.3,788800000,2014,41,primera-division
Atletico de Madrid,25.7,356000000,2014,32,primera-division
Sevilla FC,25,166750000,2014,34,primera-division
Athletic Bilbao,26.2,112100000,2014,27,primera-division
Malaga CF,26.6,82800000,2014,30,primera-division
Granada CF,25.4,67550000,2014,39,primera-division
Deportivo de La Coruna,26.4,53900000,2014,33,primera-division
Cordoba CF,25.8,50900000,2014,36,primera-division
Levante UD,27.8,43450000,2014,31,primera-division
UD Almeria,25.1,38300000,2014,31,primera-division
FC Barcelona,25.4,603800000,2014,31,primera-division
Valencia CF,24.1,230000000,2014,26,primera-division
Villarreal CF,24.1,132699999,2014,37,primera-division
Real Sociedad,25.5,96800000,2014,30,primera-division
RCD Espanyol Barcelona,25.4,75700000,2014,32,primera-division
Celta de Vigo,24.3,60400000,2014,28,primera-division
Rayo Vallecano,26.7,51700000,2014,29,primera-division
Getafe CF,26.2,50200000,2014,33,primera-division
Elche CF,25.7,38600000,2014,29,primera-division
SD Eibar,28.3,29900000,2014,25,primera-division
Real Madrid,25.7,802900000,2016,29,primera-division
Atletico de Madrid,24.7,515799999,2016,38,primera-division
Valencia CF,24.9,257500000,2016,38,primera-division
Athletic Bilbao,26.9,172600000,2016,30,primera-division
Celta de Vigo,25.4,122400000,2016,29,primera-division
Deportivo Alaves,25.3,85400000,2016,30,primera-division
UD Las Palmas,26.7,84300000,2016,33,primera-division
RCD Espanyol Barcelona,27.3,80800000,2016,29,primera-division
Granada CF,25.2,66450000,2016,40,primera-division
Sporting Gijon,25.6,47650000,2016,33,primera-division
FC Barcelona,25.8,765300000,2016,33,primera-division
Sevilla FC,25.6,270100000,2016,38,primera-division
Villarreal CF,25.9,190700000,2016,34,primera-division
Real Sociedad,25.8,156450000,2016,30,primera-division
Deportivo de La Coruna,26.8,94000000,2016,37,primera-division
Malaga CF,26,84300000,2016,32,primera-division
Real Betis Balompie,26.3,84200000,2016,28,primera-division
SD Eibar,25.2,70400000,2016,38,primera-division
CD Leganes,26.1,53150000,2016,37,primera-division
CA Osasuna,25.5,42900000,2016,37,primera-division
Bayern Munich,25.8,356000000,2011,25,bundesliga
FC Schalke 04,24.7,155230000,2011,39,bundesliga
VfL Wolfsburg,25.9,125800000,2011,45,bundesliga
SV Werder Bremen,24.3,111950000,2011,38,bundesliga
Borussia Monchengladbach,24.4,88300000,2011,28,bundesliga
Hannover 96,25.7,76800000,2011,31,bundesliga
1. FC Koln,24.7,60180000,2011,34,bundesliga
1.FSV Mainz 05,25.7,52000000,2011,30,bundesliga
1.FC Kaiserslautern,24.3,42600000,2011,37,bundesliga
Borussia Dortmund,24.6,215950000,2011,30,bundesliga
Bayer 04 Leverkusen,24.1,134850000,2011,30,bundesliga
VfB Stuttgart,25.3,118000000,2011,32,bundesliga
TSG 1899 Hoffenheim,23.9,88650000,2011,35,bundesliga
Hamburger SV,24,85900000,2011,37,bundesliga
SC Freiburg,25,69430000,2011,37,bundesliga
1.FC Nuremberg,24.2,52100000,2011,30,bundesliga
Hertha BSC,24.7,45600000,2011,31,bundesliga
FC Augsburg,26.2,38350000,2011,32,bundesliga
Real Madrid,25.1,636800000,2013,32,primera-division
Atletico de Madrid,25,308800000,2013,35,primera-division
Sevilla FC,24.5,141150000,2013,37,primera-division
Athletic Bilbao,25.8,130699999,2013,27,primera-division
Malaga CF,26,62500000,2013,31,primera-division
Granada CF,25.1,57480000,2013,34,primera-division
RCD Espanyol Barcelona,25.7,51300000,2013,26,primera-division
Rayo Vallecano,25.2,46100000,2013,33,primera-division
Levante UD,27.7,42400000,2013,33,primera-division
Real Valladolid CF,26.6,41200000,2013,31,primera-division
FC Barcelona,26.2,592200000,2013,29,primera-division
Valencia CF,24.7,178800000,2013,42,primera-division
Real Sociedad,25.4,136700000,2013,31,primera-division
Villarreal CF,24.3,77300000,2013,29,primera-division
Real Betis Balompie,24.4,58600000,2013,41,primera-division
Getafe CF,26.9,55900000,2013,32,primera-division
Celta de Vigo,25.6,49900000,2013,29,primera-division
Elche CF,26.8,44600000,2013,32,primera-division
CA Osasuna,27,42300000,2013,29,primera-division
UD Almeria,26.3,36450000,2013,34,primera-division
FC Barcelona,26.3,1090000000,2017,32,primera-division
Atletico de Madrid,25.4,711150000,2017,36,primera-division
Sevilla FC,26.5,253200000,2017,33,primera-division
Real Sociedad,26.3,232950000,2017,29,primera-division
Celta de Vigo,24.5,173050000,2017,32,primera-division
RCD Espanyol Barcelona,27.3,97800000,2017,29,primera-division
Girona FC,25.4,81750000,2017,30,primera-division
Deportivo de La Coruna,26.8,66450000,2017,36,primera-division
Levante UD,25.2,61850000,2017,37,primera-division
CD Leganes,26.8,58550000,2017,34,primera-division
Real Madrid,24.5,955350000,2017,32,primera-division
Valencia CF,24.3,398050000,2017,30,primera-division
Athletic Bilbao,25.9,249400000,2017,33,primera-division
Villarreal CF,25.4,220000000,2017,40,primera-division
Real Betis Balompie,25.9,132250000,2017,31,primera-division
UD Las Palmas,26.9,91250000,2017,38,primera-division
Deportivo Alaves,25.1,74800000,2017,33,primera-division
Getafe CF,26.6,65599999,2017,36,primera-division
SD Eibar,26.8,60050000,2017,33,primera-division
Malaga CF,25.8,55200000,2017,40,primera-division
FC Barcelona,25.9,586600000,2012,30,primera-division
Atletico de Madrid,24.6,267000000,2012,32,primera-division
Sevilla FC,24.8,144800000,2012,34,primera-division
Athletic Bilbao,23.8,119850000,2012,35,primera-division
Granada CF,26.8,72800000,2012,31,primera-division
Real Betis Balompie,25.4,66200000,2012,37,primera-division
Rayo Vallecano,26.5,49750000,2012,36,primera-division
RCD Mallorca,24.9,47100000,2012,36,primera-division
CA Osasuna,27.7,46300000,2012,31,primera-division
Levante UD,27.9,41100000,2012,32,primera-division
Real Madrid,25.5,582400000,2012,34,primera-division
Valencia CF,25.2,172900000,2012,30,primera-division
Malaga CF,26.8,122900000,2012,33,primera-division
Real Sociedad,25,113300000,2012,27,primera-division
Getafe CF,26.7,68300000,2012,31,primera-division
RCD Espanyol Barcelona,25.4,64099999,2012,31,primera-division
Celta de Vigo,26.3,49100000,2012,30,primera-division
Real Zaragoza,25.9,46800000,2012,37,primera-division
Deportivo de La Coruna,28.3,45600000,2012,31,primera-division
Real Valladolid CF,26.5,38800000,2012,25,primera-division
Manchester City,27.7,959300000,2021,22,premier-league
Chelsea FC,27,852000000,2021,27,premier-league
Tottenham Hotspur,25.8,587250000,2021,22,premier-league
Leicester City,27.1,514799999,2021,27,premier-league
Aston Villa,26.2,433500000,2021,22,premier-league
West Ham United,29.1,348750000,2021,24,premier-league
Leeds United,24.7,288300000,2021,25,premier-league
Crystal Palace,27.6,259950000,2021,26,premier-league
Brentford FC,25.9,230900000,2021,25,premier-league
